pays;source_officielle;annee_reference;sexe;age;esperance_vie_restante;date_publication_source;actif;âge actuel
LU;STATEC;1935;F;4;22.90;01.01.2024;True;
LU;STATEC;1935;F;5;15. Okt;01.01.2024;True;
LU;STATEC;1935;F;6;82.00;01.01.2024;True;
LU;STATEC;1935;M;1;59.90;01.01.2024;True;
LU;STATEC;1935;M;2;46.20;01.01.2024;True;
LU;STATEC;1935;M;3;28.50;01.01.2024;True;
LU;STATEC;1935;M;4;20.40;01.01.2024;True;
LU;STATEC;1936;F;1;64.15;01.01.2024;True;
LU;STATEC;1936;F;2;49.85;01.01.2024;True;
LU;STATEC;1936;F;3;31.75;01.01.2024;True;
LU;STATEC;1936;F;4;23. Mai;01.01.2024;True;
LU;STATEC;1936;F;5;15.25;01.01.2024;True;
LU;STATEC;1936;F;6;82.15;01.01.2024;True;
LU;STATEC;1936;M;1;60.05;01.01.2024;True;
LU;STATEC;1936;M;2;46.35;01.01.2024;True;
LU;STATEC;1936;M;3;28.65;01.01.2024;True;
LU;STATEC;1936;M;4;20.55;01.01.2024;True;
LU;STATEC;1937;F;1;64.30;01.01.2024;True;
LU;STATEC;1937;F;2;50.00;01.01.2024;True;
LU;STATEC;1937;F;3;31.90;01.01.2024;True;
LU;STATEC;1937;F;4;23.20;01.01.2024;True;
LU;STATEC;1937;F;5;15.40;01.01.2024;True;
LU;STATEC;1937;F;6;82.30;01.01.2024;True;
LU;STATEC;1937;M;1;60.20;01.01.2024;True;
LU;STATEC;1937;M;2;46.50;01.01.2024;True;
LU;STATEC;1937;M;3;28.80;01.01.2024;True;
LU;STATEC;1937;M;4;20.70;01.01.2024;True;
LU;STATEC;1938;F;1;64.45;01.01.2024;True;
LU;STATEC;1938;F;2;50.15;01.01.2024;True;
LU;STATEC;1938;F;3;32.05;01.01.2024;True;
LU;STATEC;1938;F;4;23.35;01.01.2024;True;
LU;STATEC;1938;F;5;15.55;01.01.2024;True;
LU;STATEC;1938;F;6;82.45;01.01.2024;True;
LU;STATEC;1938;M;1;60.35;01.01.2024;True;
LU;STATEC;1938;M;2;46.65;01.01.2024;True;
LU;STATEC;1938;M;3;28.95;01.01.2024;True;
LU;STATEC;1938;M;4;20.85;01.01.2024;True;
LU;STATEC;1939;F;1;64.60;01.01.2024;True;
LU;STATEC;1939;F;2;50.30;01.01.2024;True;
LU;STATEC;1939;F;3;32.20;01.01.2024;True;
LU;STATEC;1939;F;4;23.50;01.01.2024;True;
LU;STATEC;1939;F;5;15.70;01.01.2024;True;
LU;STATEC;1939;F;6;82.60;01.01.2024;True;
LU;STATEC;1939;M;1;60.50;01.01.2024;True;
LU;STATEC;1939;M;2;46.80;01.01.2024;True;
LU;STATEC;1939;M;3;29. Okt;01.01.2024;True;
LU;STATEC;1939;M;4;21.00;01.01.2024;True;
LU;STATEC;1940;F;1;64.75;01.01.2024;True;
LU;STATEC;1940;F;2;50.45;01.01.2024;True;
LU;STATEC;1940;F;3;32.35;01.01.2024;True;
LU;STATEC;1940;F;4;23.65;01.01.2024;True;
LU;STATEC;1940;F;5;15.85;01.01.2024;True;
LU;STATEC;1940;F;6;82.75;01.01.2024;True;
LU;STATEC;1940;M;1;60.65;01.01.2024;True;
LU;STATEC;1940;M;2;46.95;01.01.2024;True;
LU;STATEC;1940;M;3;29.25;01.01.2024;True;
LU;STATEC;1940;M;4;21.15;01.01.2024;True;
LU;STATEC;1941;F;1;64.90;01.01.2024;True;
LU;STATEC;1941;F;2;50.60;01.01.2024;True;
LU;STATEC;1941;F;3;32.50;01.01.2024;True;
LU;STATEC;1941;F;4;23.80;01.01.2024;True;
LU;STATEC;1941;F;5;16.00;01.01.2024;True;
LU;STATEC;1941;F;6;82.90;01.01.2024;True;
LU;STATEC;1941;M;1;60.80;01.01.2024;True;
LU;STATEC;1941;M;2;47.10;01.01.2024;True;
LU;STATEC;1941;M;3;29.40;01.01.2024;True;
LU;STATEC;1941;M;4;21.30;01.01.2024;True;
LU;STATEC;1942;F;1;65.05;01.01.2024;True;
LU;STATEC;1942;F;2;50.75;01.01.2024;True;
LU;STATEC;1942;F;3;32.65;01.01.2024;True;
LU;STATEC;1942;F;4;23.95;01.01.2024;True;
